url,views,likes,dislikes,comments,duration
https://youtu.be/LTjzI3_hPaY,478389,2007,85,49,1:38
https://youtu.be/rIE7ZYX5WtI,460141,2057,140,37,1:49
https://youtu.be/TIgUl9q5mLQ,459995,1923,71,36,1:44
https://youtu.be/harP-lMl-aA,457978,1150,106,30,2:52
https://youtu.be/Xk6LJCfLsSU,454060,2490,113,24,3:14
https://youtu.be/ZJK7CXG4Rn8,445493,1889,172,32,4:14
https://youtu.be/FSkB_ZHQEsk,445123,2769,105,81,3:04
https://youtu.be/dfwG8k21KPM,442179,1702,72,22,2:14
https://youtu.be/VZcxFrT4BKk,430527,1908,96,50,3:30
https://youtu.be/vRC3QrYvYrI,423107,2246,97,47,3:00
https://youtu.be/EzBimQbJTPM,420640,1559,49,17,1:34
https://youtu.be/l-s7an5_Xos,420506,2075,92,27,2:24
https://youtu.be/3lZpdy48GFI,420494,2285,109,48,3:28
https://youtu.be/DNGjblhdcNk,418633,894,59,25,1:42
https://youtu.be/aUAgkYQ9usg,415541,1709,94,58,2:01
https://youtu.be/1VQg6CN7eH8,400265,3181,96,27,2:38
https://youtu.be/yDCiy6d_AoI,398588,1361,77,22,4:41
https://youtu.be/ha7-kzr1FLA,398529,1900,85,58,3:16
https://youtu.be/jZVDSlF5KsA,397789,2129,100,25,1:55
https://youtu.be/5hTfIoA547g,392378,1443,59,23,2:22
https://youtu.be/w98pmmL9fh0,389986,2151,106,30,2:01
https://youtu.be/gqX74mJk63I,387807,1909,83,26,2:14
https://youtu.be/5CrwzEiLl8Q,386475,2351,107,45,3:39
https://youtu.be/CbgLxVY0sks,385451,1784,66,42,2:14
https://youtu.be/YxcS2fTHrII,383833,1413,70,26,1:24
https://youtu.be/T9eF1pzS0Gw,377840,980,63,17,3:01
https://youtu.be/SWF0HecSwYA,377347,2808,88,90,3:53
https://youtu.be/VRUVd4SQ7Mo,376436,1647,79,41,2:43
https://youtu.be/u1EtmLaMt5Y,374549,1801,75,56,2:35
https://youtu.be/SG5_AtifkaE,374254,1623,91,41,1:46
https://youtu.be/tKigCXpjzt4,373261,1448,59,74,2:28
https://youtu.be/f1rGyGwoJ68,368599,1653,78,31,3:05
https://youtu.be/gDUYrHF4s14,368218,1426,49,27,3:04
https://youtu.be/2JwlYWOsMS0,366443,1280,90,20,1:41
https://youtu.be/d3AsbzNxb5c,362915,2235,78,24,3:03
https://youtu.be/Egs7MLLWUHI,361897,1996,53,46,2:32
https://youtu.be/h7IqrsqBy1M,359125,1459,37,30,2:09
https://youtu.be/Qe6HjBcKqao,352900,2383,92,19,3:20
https://youtu.be/40ukYPvfUmI,349451,1448,66,21,2:05
https://youtu.be/8QT38vnwbDU,332327,1637,38,28,2:22
https://youtu.be/PxsWkmJXfZY,329320,1450,24,50,2:27
https://youtu.be/xVpyEOc0y_Y,324910,2188,72,16,2:45
https://youtu.be/omNYk1TQEYk,320621,1983,67,50,1:50
https://youtu.be/X3XVmII-YoA,318273,1582,49,22,1:39
https://youtu.be/TDi8zy_55LU,315091,871,38,8,1:04
https://youtu.be/qrl9Z8YD1SI,310452,1104,40,14,1:33
https://youtu.be/ixUFJhp7iXQ,309356,1222,42,13,2:21
https://youtu.be/2V15_8OeTto,306260,1266,40,20,2:08
https://youtu.be/U6_PAZlgrOo,301658,1865,77,19,2:13
https://youtu.be/6038Y198Rxg,300290,1317,39,5,1:31
https://youtu.be/lw4-Qv8kdL4,298418,1612,75,15,2:48
https://youtu.be/jPbZPMl8Zmc,298406,1930,120,23,2:16
https://youtu.be/OA0SBQc8LcY,296889,1517,73,21,2:09
https://youtu.be/_rD_6sDaJ7U,289590,1139,37,16,2:29
https://youtu.be/d6r41kkDJvA,283988,1321,55,20,1:58
https://youtu.be/-ZoqTxj7rfQ,283974,1020,23,16,1:05
https://youtu.be/XaYIbCf91Ds,281392,1466,66,33,2:13
https://youtu.be/RO0ws8Io19M,281355,1312,56,16,2:35
https://youtu.be/DZERKfVqWmc,281158,1852,79,45,2:29
https://youtu.be/sSIXTq8KlTw,279581,1527,109,74,2:48
https://youtu.be/8r_Q9kcZ3SA,274347,1016,36,7,1:27
https://youtu.be/cgaTVZKUFuY,270124,1729,65,22,2:54
https://youtu.be/UKLBaltVKKc,260161,1196,52,34,0:59
https://youtu.be/jXTFiwKEMVE,248839,1259,58,30,1:54
https://youtu.be/qRZMxJQMlUg,240706,632,29,8,1:14
https://youtu.be/Pc5yHdc127k,230398,1295,58,17,2:30
https://youtu.be/iy-TqNmHoLg,226230,1446,26,13,1:50
